return_direction,point_winner,point_end_type,point_end_location,kitchen_rush,server_score,returner_score,shot_count
crosscourt,returner,winner,kitchen,returner,0,1,10
crosscourt,returner,unforced-error,baseline,none,1,0,3
middle,returner,winner,baseline,server,0,1,6
middle,server,unforced-error,baseline,none,1,0,4
line,server,winner,baseline,returner,2,0,3
crosscourt,server,unforced-error,baseline,none,3,0,2
line,server,unforced-error,mid-court,returner,4,0,12
crosscourt,returner,winner,mid-court,server,5,0,8
middle,returner,forced-error,baseline,server,0,5,7
line,server,winner,baseline,returner,5,0,3
middle,returner,forced-error,kitchen,both,6,0,9
crosscourt,returner,winner,baseline,server,0,6,4
middle,server,winner,kitchen,server,6,0,5
crosscourt,server,winner,baseline,returner,7,0,5
middle,server,winner,baseline,returner,8,0,7
middle,returner,unforced-error,baseline,none,9,0,3
Cross Court,Returner,Unforced Error,Baseline,Server,0,0,4
Down The Line,Server,Forced Error,Baseline,None,0,0,2
Cross Court,Server,Forcer Error,Kitchen,Returner,1,0,7
Cross Court,Server,Winner,Kitchen,Server,2,0,7
Down The Line,Returner,Forced Error,Kitchen,Returner,3,0,10
Cross Court,Server,Winner,Kitchen,Server,0,3,7
Cross Court,Returner,Forced Error,Baseline,Returner,1,3,5
Cross Court,Returner,Unforced Error,Baseline,None,3,1,2
Cross Court,Server,Winner,Kitchen,Server,1,3,7
Cross Court,Server,Unforced Error,Baseline,Server,2,3,4
Down The line,Server,Unforced Error,Baseline,None,3,3,5
Cross Court,Returner,Forced Error,Kitchen,Returner,3,3,5
Cross Court,Server,Forced Error,Baseline,Server,3,3,4
Middle,Server,Forced Error,Kitchen,Returner,3,3,6
Cross Court,Returner,Unforced Error,Mid-Court,Returner,4,3,9
Middle,Returner,Forced Error,Mid-Court,None,3,4,5
Middle,Returner,Forced Error,Mid-Court,None,4,3,5
Cross Court,Server,Unforced Error,Baseline,Server,3,4,4
Down The line,Returner,Forced Error,Mid-Court,Server,4,4,11
Cross Court,Server,Forced Error,Mid-Court,Returner,4,4,4
Down The line,Server,Winner,Baseline,Returner,5,4,5
Down The line,Returner,Forced Error,Baseline,Returner,6,4,12
Cross Court,Server,Unforced Error,Mid-Court,Both,4,6,9
Middle,Returner,Winner,Mid-Court,Returner,5,6,6
Cross Court,Server,Winner,Baseline,Returner,6,5,3
Down The line,Returner,Forced Error,Baseline,Returner,7,5,3
Cross Court,Server,Unforced Error,Baseline,Server,5,7,4
Cross Court,Returner,Winner,Mid-Court,Server,6,7,6
Down The line,Returner,Unforced Error,Baseline,Returner,7,6,3
Cross Court,Returner,Unforced Error,Mid-Court,Server,6,7,3
Cross Court,Server,Forced Error,Kitchen,Both,7,6,5
Middle,Returner,Unforced Error,Mid-Court,Returner,8,6,3
Middle,Returner,Forced Error,Mid-Court,Returner,6,8,14
Middle,Server,Forced Error,Baseline,None,8,6,2
Down The line,Server,Forced Error,Kitchen,Returner,9,6,8
Cross Court,Server,Winner,Baseline,Returner,10,6,5
Down The line,Returner,Unforced Error,Mid-Court,Returner,0,0,4
Cross Court,Returner,Unforced Error,Mid-Court,Server,0,0,3
Cross Court,Server,Forced Error,Baseline,Returner,0,0,4
N/A,Returner,Unforced Error,Baseline,None,1,0,1
Cross Court,Server,Forced Error,Kitchen,Both,0,1,14
Cross Court,Server,Forced Error,Mid-Court,Server,1,1,7
Cross Court,Server,Unforced Error,Baseline,None,2,1,2
Down The line,Server,Unforced Error,Baseline,None,3,1,4
Cross Court,Returner,Winner,Mid-Court,Server,4,1,18
Down The line,Server,Winner,Mid-Court,Returner,1,4,7
Middle,Returner,Unforced Error,Mid-Court,Returner,2,4,5
Cross Court,Server,Forced Error,Mid-Court,Server,4,2,8
Cross Court,Returner,Forced Error,Mid-Court,Server,5,2,5
N/A,Server,Forced Error,Baseline,None,2,5,1
Cross Court,Server,Unforced Error,Baseline,None,3,5,2
Cross Court,Server,Winner,Mid-Court,Returner,4,5,7
Down The line,Server,Winner,Baseline,Returner,5,5,3
Cross Court,Server,Unforced Error,Baseline,None,6,5,2
Down The line,Server,Winner,Baseline,None,7,5,3
